zip	ISD	label
77002	Houston Independent School District	
77003	Houston Independent School District	
77004	Houston Independent School District	
77005	Houston Independent School District	
77006	Houston Independent School District	
77007	Houston Independent School District	
77008	Houston Independent School District	
77009	Houston Independent School District	
77011	Houston Independent School District	
77012	Houston Independent School District	
77013	Houston Independent School District	
77014	Spring Independent School District	
77015	Galena Park Independent School District	
77016	Houston Independent School District	
77017	Houston Independent School District	
77018	Houston Independent School District	
77019	Houston Independent School District	
77020	Houston Independent School District	
77021	Houston Independent School District	
77022	Houston Independent School District	
77023	Houston Independent School District	
77024	Spring Branch Independent School District	
77025	Houston Independent School District	
77026	Houston Independent School District	
77027	Houston Independent School District	
77028	Houston Independent School District	
77029	Houston Independent School District	*
77030	Houston Independent School District	
77031	Houston Independent School District	
77032	Aldine Independent School District	
77033	Houston Independent School District	
77034	Pasadena Independent School District	
77035	Houston Independent School District	
77036	Houston Independent School District	*
77037	Aldine Independent School District	*
77038	Aldine Independent School District	
77039	Aldine Independent School District	
77040	Cypress-Fairbanks Independent School District	
77041	Cypress-Fairbanks Independent School District	
77042	Houston Independent School District	
77043	Spring Branch Independent School District	
77044	Sheldon Independent School District	
77045	Houston Independent School District	
77046	Houston Independent School District	
77047	Houston Independent School District	
77048	Houston Independent School District	
77049	Sheldon Independent School District	
77050	Houston Independent School District	
77051	Houston Independent School District	
77054	Houston Independent School District	
77055	Spring Branch Independent School District	
77056	Houston Independent School District	
77057	Houston Independent School District	
77058	Clear Creek Independent School District	
77059	Clear Creek Independent School District	
77060	Aldine Independent School District	
77061	Houston Independent School District	
77062	Clear Creek Independent School District	
77063	Houston Independent School District	
77064	Cypress-Fairbanks Independent School District	
77065	Cypress-Fairbanks Independent School District	
77066	Klein Independent School District	*
77067	Spring Independent School District	*
77068	Spring Independent School District	
77069	Cypress-Fairbanks Independent School District	
77070	Cypress-Fairbanks Independent School District	
77071	Houston Independent School District	
77072	Alief Independent School District	
77073	Aldine Independent School District	*
77074	Houston Independent School District	
77075	Pasadena Independent School District	*
77076	Houston Independent School District	
77077	Houston Independent School District	
77078	Houston Independent School District	
77079	Spring Branch Independent School District	
77080	Spring Branch Independent School District	
77081	Houston Independent School District	
77082	Alief Independent School District	
77083	Alief Independent School District	*
77084	Katy Independent School District	*
77085	Houston Independent School District	
77086	Klein Independent School District	*
77087	Houston Independent School District	
77088	Aldine Independent School District	
77089	Pasadena Independent School District	
77090	Spring Independent School District	
77091	Houston Independent School District	*
77092	Houston Independent School District	
77093	Houston Independent School District	
77094	Katy Independent School District	
77095	Cypress-Fairbanks Independent School District	
77096	Houston Independent School District	
77098	Houston Independent School District	
77099	Alief Independent School District	
77218	Katy Independent School District	*
77228	Houston Independent School District	*
77269	Cypress-Fairbanks Independent School District	*
77270	Houston Independent School District	*
77292	Houston Independent School District	*
77336	Huffman Independent School District	
77338	Humble Independent School District	*
77339	Humble Independent School District	
77345	Humble Independent School District	
77346	Humble Independent School District	
77373	Spring Independent School District	
77375	Tomball Independent School District	*
77377	Tomball Independent School District	
77379	Klein Independent School District	
77383	Spring Independent School District	*
77388	Klein Independent School District	
77389	Klein Independent School District	
77396	Humble Independent School District	
77401	Houston Independent School District	
77429	Cypress-Fairbanks Independent School District	
77433	Cypress-Fairbanks Independent School District	
77447	Waller Independent School District	
77449	Katy Independent School District	*
77450	Katy Independent School District	
77493	Katy Independent School District	
77502	Pasadena Independent School District	
77503	Pasadena Independent School District	*
77504	Pasadena Independent School District	
77505	Pasadena Independent School District	*
77506	Pasadena Independent School District	
77507	La Porte Independent School District	
77508	Pasadena Independent School District	*
77520	Goose Creek Consolidated Independent School District	
77521	Goose Creek Consolidated Independent School District	
77530	Channelview Independent School District	
77532	Crosby Independent School District	
77536	Deer Park Independent School District	
77547	Galena Park Independent School District	
77562	Goose Creek Consolidated Independent School District	
77571	La Porte Independent School District	
77572	La Porte Independent School District	*
77586	Clear Creek Independent School District	
77587	Pasadena Independent School District	
77598	Clear Creek Independent School District	
